id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,0
2,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,1
3,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,2
4,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,3
5,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,4
6,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,5
7,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,6
8,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,7
9,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,100,10000,8
1,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,115.0005,5000,0
1,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,115.0005,20000000,1
4,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,115.0005,5000,2
4,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,115.0005,20000000,3
7,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,115.0005,5000,4
7,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,115.0005,20000000,5
2,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,120.0005,5000,6
2,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,120.0005,20000000,7
5,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,120.0005,5000,8
5,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,120.0005,20000000,9
8,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,120.0005,5000,10
8,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,120.0005,20000000,11
3,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,125.0005,5000,9
3,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,125.0005,20000000,10
6,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,125.0005,5000,11
6,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,125.0005,20000000,12
9,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,125.0005,5000,13
9,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,125.0005,20000000,14
10,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,0
11,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,1
12,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,2
13,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,3
14,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,4
15,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,5
16,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,6
17,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,7
18,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,200,10000,8
10,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,215.0005,5000,0
10,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,215.0005,20000000,1
13,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,215.0005,5000,2
13,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,215.0005,20000000,3
16,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,215.0005,5000,4
16,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,215.0005,20000000,5
11,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,220.0005,5000,6
11,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,220.0005,20000000,7
14,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,220.0005,5000,8
14,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,220.0005,20000000,9
17,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,220.0005,5000,10
17,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,220.0005,20000000,11
12,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,225.0005,5000,9
12,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,225.0005,20000000,10
15,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,225.0005,5000,11
15,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,225.0005,20000000,12
18,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,225.0005,5000,13
18,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,225.0005,20000000,14
19,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,0
20,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,1
21,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,2
22,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,3
23,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,4
24,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,5
25,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,6
26,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,7
27,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,300,10000,8
19,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,315.0005,5000,0
19,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,315.0005,20000000,1
22,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,315.0005,5000,2
22,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,315.0005,20000000,3
25,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,315.0005,5000,4
25,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,315.0005,20000000,5
20,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,320.0005,5000,6
20,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,320.0005,20000000,7
23,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,320.0005,5000,8
23,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,320.0005,20000000,9
26,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,320.0005,5000,10
26,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,320.0005,20000000,11
21,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,325.0005,5000,9
21,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,325.0005,20000000,10
24,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,325.0005,5000,11
24,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,325.0005,20000000,12
27,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,325.0005,5000,13
27,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,325.0005,20000000,14
28,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,0
29,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,1
30,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,2
31,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,3
32,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,4
33,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,5
34,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,6
35,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,7
36,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,400,10000,8
28,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,415.0005,5000,0
28,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,415.0005,20000000,1
31,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,415.0005,5000,2
31,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,415.0005,20000000,3
34,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,415.0005,5000,4
34,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,415.0005,20000000,5
29,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,420.0005,5000,6
29,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,420.0005,20000000,7
32,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,420.0005,5000,8
32,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,420.0005,20000000,9
35,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,420.0005,5000,10
35,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,420.0005,20000000,11
30,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,425.0005,5000,9
30,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,425.0005,20000000,10
33,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,425.0005,5000,11
33,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,425.0005,20000000,12
36,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,425.0005,5000,13
36,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,425.0005,20000000,14
37,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,0
38,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,1
39,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,2
40,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,3
41,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,4
42,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,5
43,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,6
44,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,7
45,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,500,10000,8
37,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,515.0005,5000,0
37,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,515.0005,20000000,1
40,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,515.0005,5000,2
40,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,515.0005,20000000,3
43,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,515.0005,5000,4
43,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,515.0005,20000000,5
38,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,6
38,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,7
41,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,8
41,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,9
44,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,520.0005,5000,10
44,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,520.0005,20000000,11
39,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,9
39,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,10
42,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,11
42,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,12
45,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,525.0005,5000,13
45,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,525.0005,20000000,14
46,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,0
47,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,1
48,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,2
49,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,3
50,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,4
51,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,5
52,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,6
53,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,7
54,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,600,10000,8
46,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,0
46,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,1
49,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,2
49,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,3
52,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,615.0005,5000,4
52,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,615.0005,20000000,5
47,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,6
47,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,7
50,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,8
50,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,9
53,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,620.0005,5000,10
53,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,620.0005,20000000,11
48,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,9
48,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,10
51,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,11
51,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,12
54,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,625.0005,5000,13
54,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,625.0005,20000000,14
55,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,0
56,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,1
57,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,2
58,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,3
59,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,4
60,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,5
61,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,6
62,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,7
63,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,700,10000,8
55,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,0
55,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,1
58,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,2
58,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,3
61,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,715.0005,5000,4
61,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,715.0005,20000000,5
56,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,6
56,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,7
59,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,8
59,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,9
62,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,720.0005,5000,10
62,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,720.0005,20000000,11
57,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,9
57,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,10
60,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,11
60,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,12
63,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,725.0005,5000,13
63,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,725.0005,20000000,14
64,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,0
65,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,1
66,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,2
67,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,3
68,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,4
69,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,5
70,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,6
71,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,7
72,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,800,10000,8
64,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,0
64,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,1
67,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,2
67,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,3
70,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,815.0005,5000,4
70,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,815.0005,20000000,5
65,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,6
65,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,7
68,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,8
68,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,9
71,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,820.0005,5000,10
71,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,820.0005,20000000,11
66,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,9
66,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,10
69,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,11
69,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,12
72,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,825.0005,5000,13
72,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,825.0005,20000000,14
73,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,0
74,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,1
75,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,2
76,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,3
77,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,4
78,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,5
79,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,6
80,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,7
81,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,900,10000,8
73,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,0
73,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,1
76,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,2
76,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,3
79,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,915.0005,5000,4
79,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,915.0005,20000000,5
74,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,6
74,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,7
77,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,8
77,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,9
80,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,920.0005,5000,10
80,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,920.0005,20000000,11
75,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,9
75,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,10
78,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,11
78,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,12
81,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,925.0005,5000,13
81,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,925.0005,20000000,14
82,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,0
83,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,1
84,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,2
85,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,3
86,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,4
87,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,5
88,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,6
89,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,7
90,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,1000,10000,8
82,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,0
82,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,1
85,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,2
85,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,3
88,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1015.0005,5000,4
88,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1015.0005,20000000,5
83,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,6
83,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,7
86,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,8
86,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,9
89,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1020.0005,5000,10
89,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1020.0005,20000000,11
84,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,9
84,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1025.0005,20000000,10
87,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,11
87,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1025.0005,20000000,12
90,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1025.0005,5000,13
